Accepted Symbol,Synonym Symbol,Scientific Name,PLANTS Floristic Area,State and Province,Family,Duration,Native Status,Active Growth Period,Fire Resistance,Bloom Period
COER,,Commelina erecta,"NA (L48), PR, VI","USA+(PR, VI), USA(AL, AR, AZ, CO, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MD, MI, MN, MO, MS, NC, NE, NJ, NM, NY, OK, PA, RI, SC, SD, TN, TX, VA, WI, WV, WY)",Commelinaceae,Perennial,L48(N)PR(N)VI(N),,,
COERA,,Commelina erecta var. angustifolia,NA (L48),"USA(AL, AR, AZ, CO, DE, FL, GA, IA, IL, IN, KS, KY, LA, MO, MS, NC, NE, NM, OK, PA, SC, SD, TN, TX, VA, WV, WY)",Commelinaceae,Perennial,L48(N),,,
COERD,,Commelina erecta var. deamiana,NA (L48),"USA(AR, AZ, IA, IL, IN, KS, LA, MI, MN, MO, NM, OK, TX, WI)",Commelinaceae,Perennial,L48(N),,,
COERE,,Commelina erecta var. erecta,"NA (L48), PR, VI","USA+(PR, VI), USA(AL, AR, AZ, DC, DE, FL, GA, IL, IN, KS, KY, LA, MD, MO, MS, NC, NJ, NM, NY, OK, PA, RI, SC, TN, TX, VA, WV)",Commelinaceae,Perennial,L48(N)PR(N)VI(N),,,
COVI3,,Commelina virginica,"NA (L48), PR","USA+(PR), USA(AL, AR, DC, DE, FL, GA, IL, IN, KS, KY, LA, MD, MO, MS, NC, NJ, NY, OH, OK, PA, SC, TN, TX, VA, WV)",Commelinaceae,Perennial,L48(N)PR(N),Summer and Fall,No,Mid Summer
COMPT,,Comptonia,NA (L48),"CAN(NB, NS, ON, PE, QC), USA(CT, DC, DE, GA, IL, IN, KY, MA, MD, ME, MI, MN, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV)",Myricaceae,,L48(N)CAN(N),,,
CONIO,,Conioselinum,NA (L48),"CAN(BC, LB, NB, NF, NS, ON, PE, QC), FRA(SB), USA(AK, AL, AZ, CA, CO, CT, IA, IL, IN, LA, MA, ME, MI, MN, MO, MT, NC, NE, NH, NJ, NM, NY, OH, OR, PA, RI, UT, VA, VT, WA, WI, WY)",Apiaceae,,L48(N)CAN(N)SPM(N),,,
CONOC4,,Conoclinium,NA (L48),"CAN(ON), USA(AL, AR, AZ, DC, DE, FL, GA, IL, IN, KS, KY, LA, MD, MI, MO, MS, NC, NE, NJ, NM, NY, OH, OK, PA, SC, TN, TX, VA, WV)",Asteraceae,,L48(N)CAN(I),,,
CONOP,,Conopholis,NA (L48),"CAN(MB, NS, ON, QC), USA(AL, AZ, CO, CT, DC, DE, FL, GA, IA, IL, IN, KY, MA, MD, ME, MI, MS, NC, NH, NJ, NM, NY, OH, PA, RI, SC, TN, TX, VA, VT, WI, WV)",Orobanchaceae,,L48(N)CAN(N),,,
CONVA,,Convallaria,NA (L48),"CAN(NB, NF, NS, ON, PE, QC, SK), USA(AL, AR, CT, DE, GA, IA, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MT, NC, NH, NJ, NY, OH, OR, PA, RI, TN, UT, VA, VT, WA, WI, WV)",Liliaceae,,"L48(I,N)CAN(I)",,,
CONVO,,Convolvulus,NA (L48),"CAN(AB, BC, MB, NB, NS, ON, PE, QC, SK), USA+(PR, VI), USA(AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Convolvulaceae,,"L48(I,N)CAN(I)",,,
CONYZ,,Conyza,"NA (L48, PB)","CAN(AB, BC, MB, NB, NF, NS, NT, ON, PE, QC, SK), FRA(SB), USA+(PR, VI), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NAV, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PW, RI, SC, SD, TN, TX, UM, UT, VA, VT, WA, WI, WV, WY)",Asteraceae,,"L48(I,N)CAN(I,N)SPM(N)",,,
CORAL5,,Corallorhiza,"GL (L48, GL)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN(GL), FRA(SB), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Orchidaceae,,L48(N)CAN(N)GL(N)SPM(N),,,
COWI5,,Corallorhiza wisteriana,NA (L48),"USA(AL, AR, AZ, CO, DC, DE, FL, GA, ID, IL, IN, KS, KY, LA, MD, MO, MS, MT, NC, NE, NH, NJ, NM, OH, OK, OR, PA, SC, SD, TN, TX, UT, VA, WV, WY)",Orchidaceae,Perennial,L48(N),,,
COREO2,,Coreopsis,"NA (L48, PB)","CAN(AB, BC, MB, NS, ON, QC, SK), USA(AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, OR, PA, PW, RI, SC, SD, TN, TX, VA, VT, WA, WI, WV, WY)",Asteraceae,,"L48(N)CAN(I,N)",,,
COBA2,,Coreopsis basalis,NA (L48),"USA(AL, AR, CT, FL, GA, IL, LA, MS, NC, SC, TX)",Asteraceae,Annual,L48(N),,,
COGRG,,Coreopsis grandiflora var. grandiflora,NA (L48),"USA(AL, AR, CA, FL, GA, IL, LA, MO, MS, OK, SC, TX, WI)",Asteraceae,Perennial,L48(N),,,
COPA10,,Coreopsis palmata,NA (L48),"USA(AL, AR, IA, IL, IN, KS, LA, MI, MN, MO, NE, OK, SD, WI)",Asteraceae,Perennial,L48(N),,,
COPU2,,Coreopsis pubescens,NA (L48),"USA(AL, AR, CT, FL, GA, IL, KS, KY, LA, MA, MO, MS, NC, OK, SC, TN, TX, VA, WV)",Asteraceae,Perennial,L48(N),,,
COPUP,,Coreopsis pubescens var. pubescens,NA (L48),"USA(AL, AR, FL, GA, IL, KS, KY, LA, MA, MO, MS, NC, OK, SC, TN, TX, VA, WV)",Asteraceae,Perennial,L48(N),,,
CORIS,,Corispermum,NA (L48),"CAN(AB, BC, MB, NT, ON, QC, SK, YT), USA(AK, AR, AZ, CA, CO, GA, IA, ID, IL, IN, KS, KY, MA, MI, MN, MO, MT, ND, NE, NJ, NM, NV, NY, OH, OK, OR, SD, TX, UT, WA, WI, WY)",Chenopodiaceae,,"L48(I,N)CAN(N)",,,
CORNU,,Cornus,"GL (L48, GL)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN(GL), FRA(SB), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Cornaceae,,"L48(I,N)CAN(N)GL(N)SPM(N)",,,
COAM2,,Cornus amomum,NA (L48),"USA(AL, CT, DC, DE, FL, GA, IA, IL, IN, KY, MA, MD, ME, MI, MO, MS, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WV)",Cornaceae,Perennial,L48(N),Spring and Summer,No,Early Spring
COFO,,Cornus foemina,NA (L48),"USA(AL, AR, DE, FL, GA, IL, IN, KY, LA, MD, MO, MS, NC, NJ, OK, SC, TN, TX, VA)",Cornaceae,Perennial,L48(N),Spring and Summer,No,Mid Spring
CORYD,,Corydalis,NA (L48),"CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Fumariaceae,,"L48(I,N)CAN(I,N)",,,
COCU2,,Corydalis curvisiliqua,NA (L48),"USA(AZ, CO, IA, IL, KS, MO, NE, NM, NV, OK, SD, TX, UT, WY)",Fumariaceae,"Annual, Biennial",L48(N),,,
COCUG2,,Corydalis curvisiliqua ssp. grandibracteata,NA (L48),"USA(CO, IA, IL, KS, OK, TX)",Fumariaceae,"Annual, Biennial",L48(N),,,
COCUO,,Corydalis curvisiliqua ssp. occidentalis,NA (L48),"USA(AZ, CO, IA, IL, KS, MO, NE, NM, NV, OK, SD, TX, UT, WY)",Fumariaceae,"Biennial, AN",L48(N),,,
COMI2,,Corydalis micrantha,NA (L48),"USA(AL, AR, FL, GA, IA, IL, IN, KS, KY, LA, MN, MO, MS, NC, NE, OK, SC, SD, TN, TX, WI)",Fumariaceae,Annual,L48(N),,,
COMIA2,,Corydalis micrantha ssp. australis,NA (L48),"USA(AL, AR, FL, GA, IL, KS, LA, MO, MS, NC, OK, SC, TX)",Fumariaceae,Annual,L48(N),,,
COMIM2,,Corydalis micrantha ssp. micrantha,NA (L48),"USA(AR, IA, IL, IN, KS, KY, LA, MN, MO, NC, NE, OK, SC, SD, TN, TX, WI)",Fumariaceae,Annual,L48(N),,,
CORYL,,Corylus,NA (L48),"CAN(AB, BC, MB, NB, NF, NS, ON, PE, QC, SK), FRA(SB), USA(AL, AR, CA, CO, CT, DC, DE, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NY, OH, OK, OR, PA, RI, SC, SD, TN, VA, VT, WA, WI, WV, WY)",Betulaceae,,"L48(I,N)CAN(I,N)SPM(N)",,,
COSMO,,Cosmos,"NA (L48, PB)","CAN(ON, QC), USA+(PR, VI), USA(AL, AR, AZ, CA, CO, CT, DE, FL, GA, IL, KS, KY, LA, MA, MD, ME, MI, MN, MO, NC, NH, NJ, NM, NY, OH, OK, PA, PW, RI, SC, TN, TX, UT, VA, WI, WV, WY)",Asteraceae,,"L48(I,N)CAN(I)",,,
COTIN,,Cotinus,NA (L48),"CAN(ON), USA(AL, AR, CT, GA, IL, KY, MA, MD, MO, NJ, NY, OH, OK, PA, TN, TX, UT, VT)",Anacardiaceae,,"L48(I,N)CAN(I)",,,
CRATA,,Crataegus,NA (L48),"CAN(AB, BC, MB, NB, NF, NS, ON, PE, QC, SK), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Rosaceae,,"L48(I,N)CAN(I,N)",,,
CRWH,,Crataegus Ã—whittakeri,NA (L48),USA(IL),Rosaceae,Perennial,L48(N),,,
CRDI9,,Crataegus dispessa,NA (L48),"USA(IL, IN, MO, NY, OK, PA)",Rosaceae,Perennial,L48(N),,,
CREN,,Crataegus engelmannii,NA (L48),"USA(AR, GA, IL, KS, KY, LA, MO, MS, NY, OH, OK, TN, TX, VA)",Rosaceae,Perennial,L48(N),,,
CRLU,,Crataegus lucorum,NA (L48),"USA(CT, IL, MI, NH, NY, OH, PA, VA, VT, WI, WV)",Rosaceae,Perennial,L48(N),,,
CRMA5,,Crataegus marshallii,NA (L48),"USA(AL, AR, FL, GA, IL, KY, LA, MO, MS, NC, OK, SC, TN, TX, VA)",Rosaceae,Perennial,L48(N),Spring and Summer,No,Mid Spring
CRNI,,Crataegus nitida,NA (L48),"USA(AR, IL, MO, OH, PA, TN, WI)",Rosaceae,Perennial,L48(N),,,
CROV2,,Crataegus ovata,NA (L48),"USA(IL, MO)",Rosaceae,Perennial,L48(N),,,
CRPO11,,Crataegus porrecta,NA (L48),"USA(IL, PA)",Rosaceae,Perennial,L48(N),,,
CRPR4,,Crataegus pratensis,NA (L48),"USA(IL, KY)",Rosaceae,Perennial,L48(N),,,
CRSP,,Crataegus spathulata,NA (L48),"USA(AL, AR, FL, GA, IL, KY, LA, MO, MS, NC, OK, SC, TN, TX, VA)",Rosaceae,Perennial,L48(N),,,
CRVI2,,Crataegus viridis,NA (L48),"USA(AL, AR, DE, FL, GA, IL, IN, KS, KY, LA, MD, MO, MS, NC, OK, PA, SC, TN, TX, VA, WV)",Rosaceae,Perennial,L48(N),Spring and Summer,No,Early Spring
CRVIV2,,Crataegus viridis var. viridis,NA (L48),"USA(AL, AR, DE, FL, GA, IL, IN, KS, KY, LA, MD, MO, MS, NC, OK, PA, SC, TN, TX, VA, WV)",Rosaceae,Perennial,L48(N),,,
CREPI,,Crepis,"GL (L48, GL)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN(GL), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Asteraceae,,"L48(I,N)GL(N,W)",,,
CROTA,,Crotalaria,"NA (L48, PB)","USA+(PR, VI), USA(AL, AR, AZ, CT, DC, DE, FL, GA, HI, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NAV, NC, NE, NH, NJ, NM, NY, OH, OK, PA, PW, RI, SC, SD, TN, TX, UM, UT, VA, VT, WI, WV)",Fabaceae,,"L48(I,N)",,,
CRSA4,,Crotalaria sagittalis,"NA (L48), PR","USA+(PR), USA(AL, AR, AZ, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV)",Fabaceae,"Annual, Perennial",L48(N)PR(N),,,
CROTO,,Croton,"NA (L48, PB)","CAN(ON), USA+(PR, VI), USA(AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, NE, NJ, NM, NV, NY, OH, OK, OR, PA, PW, SC, SD, TN, TX, UT, VA, WA, WI, WV, WY)",Euphorbiaceae,,"L48(I,N)CAN(I)",,,
CRGL2,,Croton glandulosus,"NA (L48), PR, VI","USA+(PR, VI), USA(AL, AR, DE, FL, GA, IA, IL, IN, KS, KY, LA, MD, MI, MN, MO, MS, NC, NE, NJ, NM, OH, OK, PA, SC, SD, TN, TX, VA, WI, WV)",Euphorbiaceae,Annual,"L48(I,N)PR(N)VI(N)",,,
CRGLS,,Croton glandulosus var. septentrionalis,NA (L48),"USA(AL, AR, DE, FL, GA, IA, IL, IN, KS, KY, LA, MD, MI, MN, MO, MS, NC, NE, NJ, OH, OK, PA, SC, SD, TN, TX, VA, WI, WV)",Euphorbiaceae,Annual,L48(N),,,
CRLI2,,Croton lindheimerianus,NA (L48),"USA(AR, AZ, IL, IN, KS, LA, MO, NC, NM, OK, PA, TX)",Euphorbiaceae,Annual,L48(N),,,
CRLIL,,Croton lindheimerianus var. lindheimerianus,NA (L48),"USA(AR, AZ, IL, IN, KS, LA, MO, NC, NM, OK, PA, TX)",Euphorbiaceae,Annual,L48(N),,,
CRMI8,,Croton michauxii,NA (L48),"USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MD, MO, MS, NC, NJ, OH, OK, PA, SC, TN, TX, VA)",Euphorbiaceae,Annual,L48(N),,,
CRMIE,,Croton michauxii var. ellipticus,NA (L48),"USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MD, MO, MS, NC, NJ, OH, OK, PA, SC, TN, TX, VA)",Euphorbiaceae,Annual,L48(N),,,
CRMIM2,,Croton michauxii var. michauxii,NA (L48),"USA(AL, AR, CT, FL, GA, IA, IL, KY, LA, MD, MO, MS, OK, SC, TN, TX, VA)",Euphorbiaceae,Annual,L48(N),,,
CRMO6,,Croton monanthogynus,NA (L48),"USA(AL, AR, AZ, GA, IA, IL, IN, KS, KY, LA, MD, MI, MO, MS, NC, NE, NM, OH, OK, PA, SC, TN, TX, VA, WI, WV)",Euphorbiaceae,Annual,L48(N),,,
CRTE4,,Croton texensis,NA (L48),"USA(AL, AZ, CO, DE, FL, IA, IL, KS, MA, MO, NE, NM, OK, SD, TX, UT, WI, WY)",Euphorbiaceae,Annual,L48(N),,,
CRTET,,Croton texensis var. texensis,NA (L48),"USA(AL, AZ, CO, DE, FL, IA, IL, KS, MA, MO, NE, NM, OK, SD, TX, UT, WI, WY)",Euphorbiaceae,Annual,L48(N),,,
CRYPT3,,Cryptogramma,NA (L48),"CAN(AB, BC, LB, MB, NB, NF, NS, NT, ON, QC, SK, YT), USA(AK, AZ, CA, CO, CT, IA, ID, IL, MA, ME, MI, MN, MT, NH, NJ, NM, NV, NY, OR, PA, SD, UT, VT, WA, WI, WV, WY)",Pteridaceae,,L48(N)CAN(N),,,
CRYPT5,,Cryptotaenia,NA (L48),"CAN(MB, NB, ON, QC), USA(AL, AR, CT, DC, DE, FL, GA, HI, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV)",Apiaceae,,L48(N)CAN(N),,,
CUCUR,,Cucurbita,"NA (L48, PB)","CAN(ON, QC), USA+(PR, VI), USA(AL, AR, AZ, CA, CO, CT, FL, GA, IA, IL, IN, KS, KY, LA, MA, ME, MI, MO, MS, NAV, NC, NE, NH, NJ, NM, NV, NY, OH, OK, PA, PW, SC, TN, TX, UM, UT, VA, VT, WI, WV, WY)",Cucurbitaceae,,"L48(I,N)CAN(W)",,,
CUFO,,Cucurbita foetidissima,NA (L48),"USA(AR, AZ, CA, CO, FL, IA, IL, IN, KS, KY, MI, MO, NE, NM, NV, OH, OK, TX, UT, VA, WI, WY)",Cucurbitaceae,Perennial,L48(N),Spring and Summer,No,Summer
CUPEO,,Cucurbita pepo var. ovifera,NA (L48),"USA(AR, GA, IL, KY, LA, MO, MS, TX, WV)",Cucurbitaceae,Annual,L48(N),,,
CUPEO2,,Cucurbita pepo var. ozarkana,NA (L48),"USA(AR, IL, MO)",Cucurbitaceae,Annual,L48(N),,,
CUNIL,,Cunila,NA (L48),"USA(AL, AR, DC, DE, GA, IL, IN, KS, KY, LA, MD, MO, MS, NC, NJ, NY, OH, OK, PA, SC, TN, TX, VA, WV)",Lamiaceae,,L48(N),,,
CUOR,,Cunila origanoides,NA (L48),"USA(AL, AR, DC, DE, GA, IL, IN, KS, KY, LA, MD, MO, MS, NC, NJ, NY, OH, OK, PA, SC, TN, TX, VA, WV)",Lamiaceae,Perennial,L48(N),,,
CUPHE,,Cuphea,NA (L48),"CAN(ON), USA+(PR), USA(AL, AR, AZ, CT, DC, DE, FL, GA, HI, IA, IL, IN, KS, KY, LA, MA, MD, MO, MS, NC, NE, NH, NJ, NM, NY, OH, OK, PA, SC, TN, TX, VA, VT, WV)",Lythraceae,,"L48(I,N)CAN(I)",,,
CUSCU,,Cuscuta,"NA (L48, PB)","CAN(AB, BC, MB, NB, NF, NS, ON, PE, QC, SK), USA+(PR, VI), USA(AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NAV, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UM, UT, VA, VT, WA, WI, WV, WY)",Cuscutaceae,,"L48(I,N)CAN(I,N)",,,
CUCU2,,Cuscuta cuspidata,NA (L48),"USA(AR, CO, CT, IA, IL, IN, KS, KY, LA, MO, MS, ND, NE, NM, OK, SD, TN, TX, UT, WI)",Cuscutaceae,Perennial,L48(N),,,
CUGL3,,Cuscuta glomerata,NA (L48),"USA(AR, IA, IL, IN, KS, KY, LA, MI, MN, MO, MS, ND, NE, NM, OH, OK, SD, TN, TX, WI)",Cuscutaceae,Perennial,L48(N),,,
CUINI,,Cuscuta indecora var. indecora,NA (L48),"USA(AR, AZ, CA, CO, FL, IL, ND, NJ, OK, TX, VA)",Cuscutaceae,Perennial,L48(N),,,
CYCLA4,,Cyclachaena,NA (L48),"CAN(AB, BC, MB, NS, ON, PE, QC, SK), USA(AZ, CO, CT, DC, IA, ID, IL, IN, KS, KY, MA, ME, MI, MN, MO, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TX, UT, VA, VT, WA, WI, WY)",Asteraceae,,L48(N)CAN(I),,,
CYCLO,,Cycloloma,NA (L48),"CAN(MB, ON, QC, SK), USA(AL, AR, AZ, CA, CO, CT, DE, IA, ID, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, MT, NC, ND, NE, NJ, NM, NV, NY, OH, OK, PA, SC, SD, TN, TX, UT, VA, WI, WV, WY)",Chenopodiaceae,,L48(N)CAN(N),,,
CYNAN,,Cynanchum,NA (L48),"CAN(BC, ON, QC), USA+(PR, VI), USA(AL, AR, AZ, CA, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NM, NV, NY, OH, OK, PA, RI, SC, TN, TX, UT, VA, VT, WI, WV)",Asclepiadaceae,,"L48(I,N)CAN(I)",,,
CYNOG,,Cynoglossum,NA (L48),"CAN(AB, BC, MB, NB, NF, NS, ON, QC, SK, YT), USA+(PR), USA(AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Boraginaceae,,"L48(I,N)CAN(I,N)",,,
CYVIV,,Cynoglossum virginianum var. virginianum,NA (L48),"USA(AL, AR, CT, DC, DE, FL, GA, IL, IN, KY, LA, MD, MO, MS, NC, NJ, NY, OH, OK, PA, SC, TN, TX, VA, WV)",Boraginaceae,Perennial,L48(N),,,
CYNOS,,Cynosciadium,NA (L48),"USA(AL, AR, IL, LA, MO, MS, OK, TN, TX)",Apiaceae,,L48(N),,,
CYDI2,,Cynosciadium digitatum,NA (L48),"USA(AL, AR, IL, LA, MO, MS, OK, TN, TX)",Apiaceae,Annual,L48(N),,,
CYPER,,Cyperus,"NA (L48, PB)","CAN(AB, BC, MB, NB, NS, ON, QC, SK), USA+(PR, VI), USA(AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NAV, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PW, RI, SC, SD, TN, TX, UM, UT, VA, VT, WA, WI, WV, WY)",Cyperaceae,,"L48(I,N)CAN(I,N)",,,
CYCO,,Cyperus compressus,"NA (L48, GU, PB), HI, PR, VI","USA+(PR, VI), USA(AL, AR, DE, FL, GA, HI, IL, IN, KY, LA, MD, MO, MS, NC, NJ, NM, NY, OH, PA, PW, SC, TN, TX, VA)",Cyperaceae,"Annual, Perennial",L48(N)HI(I)PR(N)VI(N),Summer and Fall,No,Late Summer
CYEC2,,Cyperus echinatus,NA (L48),"USA(AL, AR, CT, DC, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, MO, MS, NC, NJ, NM, NY, OH, OK, PA, RI, SC, TN, TX, VA, WI, WV)",Cyperaceae,Perennial,L48(N),,,
CYFI,,Cyperus filicinus,NA (L48),"USA(AL, CT, DE, GA, IL, LA, MA, MD, ME, MS, NC, NH, NJ, NY, PA, RI, SC, VA)",Cyperaceae,"Annual, Perennial",L48(N),,,
CYGR11,,Cyperus grayoides,NA (L48),"USA(AR, IL, LA, MO, TX)",Cyperaceae,Perennial,L48(N),,,
CYLA3,,Cyperus lancastriensis,NA (L48),"USA(AL, AR, DC, DE, GA, IL, KY, LA, MD, MO, MS, NC, NJ, OH, OK, PA, SC, TN, VA, WV)",Cyperaceae,Perennial,L48(N),Summer and Fall,No,Late Summer
CYPS,,Cyperus pseudovegetus,NA (L48),"USA(AL, AR, DC, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, MO, MS, NC, NJ, NY, OK, SC, TN, TX, VA)",Cyperaceae,Perennial,L48(N),"Spring, Summer, Fall",No,Late Spring
CYRE5,,Cyperus retrorsus,NA (L48),"USA(AL, AR, DC, DE, FL, GA, IL, IN, KY, LA, MA, MD, MO, MS, NC, NJ, NM, NY, OK, PA, SC, TN, TX, VA)",Cyperaceae,Perennial,L48(N),,,
CYRER2,,Cyperus retrorsus var. retrorsus,NA (L48),"USA(AL, AR, DC, DE, FL, GA, IL, IN, KY, LA, MD, MO, MS, NC, NJ, NM, NY, OK, PA, SC, TN, TX, VA)",Cyperaceae,Perennial,L48(N),,,
CYPRI,,Cypripedium,NA (L48),"CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), FRA(SB), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Orchidaceae,,L48(N)CAN(N)SPM(N),,,
CYPAP4,,Cypripedium parviflorum var. parviflorum,NA (L48),"USA(AL, AR, CT, GA, IL, IN, KS, KY, MA, MD, ME, MO, NC, NJ, NY, OH, OK, PA, RI, TN, VA, VT, WA, WV)",Orchidaceae,Perennial,L48(N),,,
CYSTO,,Cystopteris,"GL (L48, GL)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, QC, SK, YT), DEN(GL), FRA(SB), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Dryopteridaceae,,L48(N)CAN(N)GL(N)SPM(N),,,
CYIL,,Cystopteris Ã—illinoensis,NA (L48),"USA(IL, OH, WI)",Dryopteridaceae,Perennial,L48(N),,,
CYTE3,,Cystopteris tennesseensis,NA (L48),"USA(AL, AR, DE, GA, IA, IL, IN, KS, KY, MD, MN, MO, NC, OH, OK, PA, SC, TN, VA, WI, WV)",Dryopteridaceae,Perennial,L48(N),,,
DACTY3,,Dactylorhiza,NA (L48),"CAN(AB, BC, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), USA(AK, AZ, CO, CT, IA, IL, IN, KY, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NY, OH, PA, RI, SD, TN, UT, VA, VT, WA, WI, WV, WY)",Orchidaceae,,"L48(N)CAN(I,N)",,,
DALEA,,Dalea,NA (L48),"CAN(AB, MB, ON, SK), USA+(PR, VI), USA(AL, AR, AZ, CA, CO, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, MT, NC, ND, NE, NH, NM, NV, NY, OH, OK, OR, PA, SC, SD, TN, TX, UT, VA, WA, WI, WV, WY)",Fabaceae,,L48(N)CAN(N),,,
