PltSequence,Plot,Aspect,Slope,Group,Grp,Type,Elevation,CanopyOpenness,LnSlope,LnCanopyOpenness,BA,LnBA,InMoIndx,GLRichness,AlienRich,AlienCover,AlienNativeRatio,xRn,xRa_xRn,LnxRn,LnANratio,ASden,NSden,xRaS,xRnS,A_NSden,A_NxRS,GraminoidR,SpringR,SummerR,WoodyR,Spring_SummerRatio,WoodyCoverGL
129,HC-144,7.5951,2.1666,T.americana,B.wood,B'wood,225.7,8.05,0.773159119,2.085672091,0.620518228,-0.477200299,142.1,2,0,0,0,2,0,1.098612289,0,16,0,1,0,17,2,0,1,0,1,2,2
177,HD-134,257.7357,3.3676,Q.macrocarpa,BurOak,B.oak,223.1,9.25,1.214200324,2.224623552,1.082270455,0.079061108,136.54,4,1,12,0.25,4,0.25,1.609437912,0.223143551,8,10,1,1,0.818181818,1,0,1,0,3,2,56
284,HD-135,311.0552,2.9417,Q.rubra,ROak,R.oak,224.6,10.6,1.078987646,2.360854001,0.749167504,-0.288792684,140.59,4,0,0,0,4,0,1.609437912,0,0,4,0,1,0.2,0.5,0,2,1,1,1.5,45
179,HD-142,14.036,2.361,Q.macrocarpa,BurOak,B.oak,225.5,9.96,0.859085258,2.298577072,1.13105087,0.123147174,142.45,5,2,80,0.4,5,0.4,1.791759469,0.336472237,17,0,2,0,18,3,0,1,2,2,0.666666667,2
288,HD-143,13.2406,2.5,Q.rubra,ROak,R.oak,225.2,11.32,0.916290732,2.426571073,1.070209856,0.067854756,142.35,1,1,75,1,1,1,0.693147181,0.693147181,12,6,1,1,1.857142857,1,0,0,0,1,1,6
166,HD-146,289.0936,3.9348,Q.macrocarpa,BurOak,B.oak,225.1,8.63,1.369860055,2.155244505,1.284366457,0.250265567,139.14,0,1,1,,0,,0,,0,0,0,0,1,1,0,0,0,0,1,0
232,HD-147,132.7976,2.6335,Q.rubra,ROak,R.oak,226.1,8.58,0.96831376,2.149433913,0.559825612,-0.580129951,138.7,2,2,38,1,2,1,1.098612289,0.693147181,6,2,1,2,2.333333333,0.666666667,0,0,1,1,0.5,1
96,HE-136,338.1986,3.851,J.nig-U.rub,WnutElm,W'nut,223.9,11.3,1.348332855,2.424802726,0.09854319,-2.31726035,142.36,10,2,6,0.2,10,0.2,2.397895273,0.182321557,3,7,1,5,0.5,0.333333333,0,0,5,5,0.166666667,31
391,HH-103,111.8011,1.5424,Q.alba,WOak,W.oak,218.9,15.01,0.433339645,2.708716646,0.902284821,-0.102825043,137.59,10,1,10,0.1,10,0.1,2.397895273,0.09531018,1,1,1,1,1,1,0,0,5,3,0.166666667,54
172,HH-105,210.9627,0.8352,Q.macrocarpa,BurOak,B.oak,219,14.71,-0.180084062,2.688527535,0.117846123,-2.138375548,136.49,5,0,0,0,5,0,1.791759469,0,1,3,1,1,0.5,1,0,0,3,2,0.25,8
307,HH-106,214.3803,8.1879,Q.alba,WOak,W.oak,221,10.88,2.102657455,2.386926241,1.621478804,0.483338575,127.51,11,0,0,0,11,0,2.48490665,0,0,0,0,0,1,1,0,2,5,3,0.5,21
352,HH-110,101.3094,1.4604,Q.alba,WOak,W.oak,222.7,10.2,0.378710371,2.32238772,0.997608011,-0.002394854,139.22,4,1,20,0.25,4,0.25,1.609437912,0.223143551,0,0,0,0,1,1,0,0,1,2,0.5,70
317,HH-112,217.4055,1.5324,Q.alba,WOak,W.oak,222.6,7.12,0.426835134,1.962907725,0.683394361,-0.380683191,136.75,4,0,0,0,4,0,1.609437912,0,7,0,2,0,8,3,0,1,1,2,1,5
340,HH-115,102.1712,3.7313,Q.alba,WOak,W.oak,221.1,8.31,1.316756698,2.117459609,1.225006714,0.202946325,138.73,3,1,2,0.333333333,3,0.333333333,1.386294361,0.287682073,5,3,3,2,1.5,1.333333333,0,0,1,2,0.5,82
304,HH-116,118.3009,3.1691,Q.alba,WOak,W.oak,219.5,8.96,1.153447636,2.192770227,1.739625353,0.553669776,137.06,4,1,90,0.25,4,0.25,1.609437912,0.223143551,3,2,1,2,1.333333333,0.666666667,0,1,0,3,2,75
90,HH-139,145.9227,5.8593,J.nig-U.rub,WnutElm,W'nut,208.4,8.71,1.768030143,2.164471791,0.318849539,-1.143035952,130.1,4,3,12,0.75,4,0.75,1.609437912,0.559615788,8,0,1,0,9,2,0,1,0,3,2,22
181,HH-147,280.0081,1.2362,Q.macrocarpa,BurOak,B.oak,221.1,8.04,0.212042158,2.084429083,1.437452525,0.362872467,137.98,2,3,108,1.5,2,1.5,1.098612289,0.916290732,17,1,2,1,9,1.5,0,0,1,1,0.5,10
263,HH-90,43.6027,4.1467,Q.rubra,ROak,R.oak,216.9,9.29,1.422312837,2.228938553,1.601345628,0.470844293,141.5,4,1,20,0.25,4,0.25,1.609437912,0.223143551,0,0,0,0,1,1,0,2,1,1,1.5,5
334,HH-93,22.6199,1.8615,Q.alba,WOak,W.oak,219.7,11.34,0.621382614,2.428336298,0.712739842,-0.338638803,140.34,11,1,3,0.090909091,11,0.090909091,2.48490665,0.087011377,0,0,0,0,1,1,1,2,8,1,0.333333333,1
140,HH-96,327.8043,4.5606,T.americana,B.wood,B'wood,216.4,12.71,1.517454194,2.542389085,0.091440804,-2.392063467,140,9,1,12,0.111111111,9,0.111111111,2.302585093,0.105360516,0,0,0,0,1,1,0,2,3,4,0.75,34
174,I-107,15.0686,3.851,Q.macrocarpa,BurOak,B.oak,229.4,9.67,1.348332855,2.269028309,1.772871968,0.572600812,145.21,11,1,4,0.090909091,11,0.090909091,2.48490665,0.087011377,0,3,0,2,0.25,0.333333333,0,7,3,1,2,3
176,I-109,232.6958,3.7761,Q.macrocarpa,BurOak,B.oak,232.6,11.85,1.328691731,2.472327868,1.036855616,0.036192687,137.38,12,0,0,0,12,0,2.564949357,0,0,0,0,0,1,1,0,5,4,3,1.2,76
386,I-116,78.6907,0.3652,Q.alba,WOak,W.oak,231.5,9.07,-1.00731013,2.204972264,0.91939407,-0.084040445,141.41,10,1,3,0.1,10,0.1,2.397895273,0.09531018,0,1,0,1,0.5,0.5,0,7,3,0,2,0
293,I-117,297.646,1.6974,Q.rubra,ROak,R.oak,232.2,9.59,0.529097669,2.260720889,0.735463334,-0.307254592,141.68,12,0,0,0,12,0,2.564949357,0,0,0,0,0,1,1,0,3,5,2,0.666666667,4
36,I-133,45.8304,6.9551,F.am-U.am,AshElm,W.ash,233.2,10.76,1.939475203,2.375835555,0.617176369,-0.482600447,149.17,4,0,0,0,4,0,1.609437912,0,0,1,0,1,0.5,0.5,0,1,0,3,2,30
396,II-105,196.7825,4.7022,Q.alba,WOak,W.oak,222,11.2,1.548030484,2.415913778,1.288666639,0.253608071,132.15,10,1,2,0.1,10,0.1,2.397895273,0.09531018,0,0,0,0,1,1,1,1,8,1,0.222222222,15
346,II-118,78.1113,5.545,Q.alba,WOak,W.oak,219.3,8.59,1.712896621,2.150598736,0.642216228,-0.442830228,141.48,6,1,3,0.166666667,6,0.166666667,1.945910149,0.15415068,0,2,0,2,0.333333333,0.333333333,0,1,3,2,0.5,3
178,II-122,42.5105,4.6533,Q.macrocarpa,BurOak,B.oak,207.9,9.25,1.537576645,2.224623552,1.145841972,0.136139714,139.58,4,3,33,0.75,4,0.75,1.609437912,0.559615788,2,1,2,1,1.5,1.5,0,0,1,3,0.5,125
194,II-131,305.5374,0.6161,A.saccharum,Maple,Maple,206.3,6.62,-0.484345991,1.89009537,0.273703218,-1.295710906,133.88,3,2,5,0.666666667,3,0.666666667,1.386294361,0.510825624,9,0,3,0,10,4,0,0,0,3,1,6
377,II-136,234.4622,2.4629,Q.alba,WOak,W.oak,209.8,6.62,0.901339517,1.89009537,0.569741784,-0.562572031,132.11,3,1,10,0.333333333,3,0.333333333,1.386294361,0.287682073,0,1,0,1,0.5,0.5,0,0,2,1,0.333333333,2
128,II-142,191.6591,4.5972,T.americana,B.wood,B'wood,213,8.83,1.525447423,2.178155015,0.475426514,-0.743542954,129.95,10,2,3,0.2,10,0.2,2.397895273,0.182321557,10,0,2,0,11,3,0,2,5,3,0.5,12
335,II-87,352.6941,5.614,Q.alba,WOak,W.oak,215.9,9.17,1.725263478,2.215937286,0.977780834,-0.02246973,142.38,6,1,5,0.166666667,6,0.166666667,1.945910149,0.15415068,0,2,0,1,0.333333333,0.5,0,2,1,3,1.5,33
44,II-90,18.0835,7.343,P.serot,Cherry,Cherry,213.6,9.24,1.993747478,2.223541886,0.997359646,-0.002643846,144.44,8,1,3,0.125,8,0.125,2.197224577,0.117783036,0,2,0,1,0.333333333,0.5,2,3,2,3,1.333333333,19
357,J-110,298.1416,3.4882,Q.alba,WOak,W.oak,234.7,9.1,1.249385844,2.208274414,1.568942759,0.450401991,142.89,5,1,1,0.2,5,0.2,1.791759469,0.182321557,0,1,0,1,0.5,0.5,0,2,0,3,3,45
310,J-121,65.1361,3.2329,Q.alba,WOak,W.oak,231.8,9.82,1.173379567,2.284421122,1.65074674,0.501227755,144.23,6,1,4,0.166666667,6,0.166666667,1.945910149,0.15415068,0,0,0,0,1,1,0,3,1,2,2,4
195,J-133,34.4792,7.1735,A.saccharum,Maple,Maple,230.2,9.09,1.970393681,2.207174908,0.320863992,-1.136737947,149.05,3,0,0,0,3,0,1.386294361,0,0,1,0,1,0.5,0.5,0,0,2,1,0.333333333,25
114,J-135,72.2997,7.0313,F.penn,GAsh,G.ash,223.5,7.06,1.95037161,1.954445052,0.574565023,-0.554142006,144.22,3,0,0,0,3,0,1.386294361,0,0,0,0,0,1,1,0,0,1,2,0.5,9
264,JJ-102,181.6847,4.8606,Q.rubra,ROak,R.oak,225.2,12.23,1.581161887,2.50389195,0.767839437,-0.264174634,133.62,13,0,0,0,13,0,2.63905733,0,0,10,0,1,0.090909091,0.5,0,1,9,3,0.2,77
343,JJ-105,194.0347,0.5906,Q.alba,WOak,W.oak,224.1,10.41,-0.52661631,2.342766883,0.674837025,-0.393284062,138.47,9,0,0,0,9,0,2.302585093,0,1,0,1,0,2,2,0,1,6,2,0.285714286,13
326,JJ-111,12.3807,3.0036,Q.alba,WOak,W.oak,220.5,9.45,1.099811569,2.246014742,0.509394277,-0.674532951,141.76,10,1,10,0.1,10,0.1,2.397895273,0.09531018,0,0,0,0,1,1,0,2,3,4,0.75,23
319,JJ-114,6.0089,2.7345,Q.alba,WOak,W.oak,221.5,8.78,1.005948604,2.172476408,1.366888789,0.3125372,141.68,5,0,0,0,5,0,1.791759469,0,2,1,1,1,1.5,1,0,2,2,1,1,5
369,JJ-115,50.194,2.2363,Q.alba,WOak,W.oak,220.7,6.66,0.804822715,1.896119485,0.414677755,-0.880253554,140.62,7,0,0,0,7,0,2.079441542,0,2,9,1,3,0.3,0.5,0,3,1,3,2,22
393,JJ-121,17.5255,2.8517,Q.alba,WOak,W.oak,207.2,11.23,1.047915308,2.418588769,1.497870669,0.404044546,137.73,6,1,20,0.166666667,6,0.166666667,1.945910149,0.15415068,0,0,0,0,1,1,0,3,2,1,1.333333333,7
122,JJ-140,137.7792,10.3313,T.americana,B.wood,B'wood,211.9,8.75,2.335178122,2.1690537,0.569730606,-0.562591651,128.78,6,1,1,0.166666667,6,0.166666667,1.945910149,0.15415068,0,2,0,2,0.333333333,0.333333333,0,2,2,2,1,38
210,JJ-87,348.3662,4.9599,A.saccharum,Maple,Maple,212.9,7.75,1.601385579,2.047692843,0.213220503,-1.545428423,140.64,2,0,0,0,2,0,1.098612289,0,2,0,1,0,3,2,0,1,0,1,2,3
266,JJ-93,10.7129,2.6949,Q.rubra,ROak,R.oak,215.6,11.38,0.991361098,2.431857429,1.624129118,0.484971745,139.93,4,2,23,0.5,4,0.5,1.609437912,0.405465108,0,0,0,0,1,1,0,2,2,0,1,0
56,JJ-96,299.7447,5.7547,P.serot,Cherry,Cherry,217.1,17.19,1.750016912,2.844327819,0.012173896,-4.408461292,137.59,8,1,8,0.125,8,0.125,2.197224577,0.117783036,1,0,1,0,2,2,0,0,6,2,0.142857143,33
373,K-107,282.4499,5.6293,Q.alba,WOak,W.oak,225.4,10.65,1.7279851,2.365559892,0.372685389,-0.987020676,137.81,10,0,0,0,10,0,2.397895273,0,0,1,0,1,0.5,0.5,0,5,2,3,2,3
359,K-109,334.179,4.9208,Q.alba,WOak,W.oak,231,9.79,1.593471119,2.281361457,1.746196877,0.55744021,145.29,7,0,0,0,7,0,2.079441542,0,0,0,0,0,1,1,0,4,1,2,2.5,2
358,K-115,84.8052,2.3718,Q.alba,WOak,W.oak,232.4,8.76,0.863649161,2.170195905,0.774714097,-0.255261225,142.93,9,2,17,0.222222222,9,0.222222222,2.302585093,0.200670696,5,0,1,0,6,2,0,6,2,1,2.333333333,2
255,K-116,74.745,6.5046,Q.rubra,ROak,R.oak,229.7,7.67,1.872509619,2.037316615,0.666227315,-0.406124353,145.26,7,1,2,0.142857143,7,0.142857143,2.079441542,0.133531393,0,1,0,1,0.5,0.5,0,5,0,1,6,3
225,K-130,352.6476,4.4682,A.saccharum,Maple,Maple,227.6,9.15,1.496985643,2.213753879,0.495707348,-0.701769551,145.1,2,1,4,0.5,2,0.5,1.098612289,0.405465108,0,0,0,0,1,1,0,1,0,1,2,1
34,K-137,351.6071,4.4074,F.am-U.am,AshElm,W.ash,222.2,9.18,1.483284946,2.217027205,0.317424448,-1.147515448,143.05,4,1,3,0.25,4,0.25,1.609437912,0.223143551,0,1,0,1,0.5,0.5,0,1,2,1,0.666666667,15
265,KK-101,206.565,1.9211,Q.rubra,ROak,R.oak,226,10.88,0.652897939,2.386926241,1.196648831,0.179525009,137.41,12,0,0,0,12,0,2.564949357,0,0,0,0,0,1,1,0,1,8,3,0.222222222,7
165,KK-109,59.621,2.4061,Q.macrocarpa,BurOak,B.oak,218.6,9.27,0.878007179,2.22678338,0.465714845,-0.764181753,139.97,9,1,10,0.111111111,9,0.111111111,2.302585093,0.105360516,0,0,0,0,1,1,0,1,6,2,0.285714286,14
342,KK-116,49.5138,3.855,Q.alba,WOak,W.oak,218.6,7.89,1.349371007,2.065596135,0.867540871,-0.142092655,141.56,6,0,0,0,6,0,1.945910149,0,3,1,2,1,2,1.5,0,1,1,4,1,55
238,KK-119,46.79,6.458,Q.rubra,ROak,R.oak,210.2,6.48,1.865319672,1.86872051,0.88193304,-0.125639144,141.8,7,0,0,0,7,0,2.079441542,0,1,2,1,2,0.666666667,0.666666667,1,2,2,3,1,25
105,KK-121,68.1984,2.3129,F.penn,GAsh,G.ash,206.4,13.81,0.838502148,2.625392967,0.385946333,-0.952056953,135.91,5,1,2,0.2,5,0.2,1.791759469,0.182321557,0,100,0,1,0.00990099,0.5,0,1,2,2,0.666666667,7
180,KK-131,229.7635,2.4378,Q.macrocarpa,BurOak,B.oak,207.4,7.78,0.891095993,2.051556338,1.302219131,0.264069833,131.38,7,1,1,0.142857143,7,0.142857143,2.079441542,0.133531393,2,0,1,0,3,2,0,3,2,2,1.333333333,9
46,KK-145,216.8698,5.0007,P.serot,Cherry,Cherry,221.5,6.44,1.609577903,1.86252854,0.266750319,-1.321442193,132.08,5,1,3,0.2,5,0.2,1.791759469,0.182321557,2,0,1,0,3,2,0,2,1,2,1.5,4
196,KK-80,329.6205,2.4061,A.saccharum,Maple,Maple,205.2,14.51,0.878007179,2.674838067,0.639093757,-0.447704111,135.15,7,0,0,0,7,0,2.079441542,0,0,0,0,0,1,1,0,0,3,4,0.25,53
234,KK-93,337.8333,2.0871,Q.rubra,ROak,R.oak,214.3,11.88,0.735775543,2.474856314,0.697679674,-0.359995201,137.93,8,2,13,0.25,8,0.25,2.197224577,0.223143551,0,0,0,0,1,1,0,1,6,1,0.285714286,15
261,L-111,339.1456,6.4109,Q.rubra,ROak,R.oak,230.8,6.7,1.857999667,1.902107526,1.032753032,0.032228083,146.42,7,0,0,0,7,0,2.079441542,0,0,1,0,1,0.5,0.5,0,2,2,3,1,5
221,L-120,354.6107,3.8071,A.saccharum,Maple,Maple,231.1,8.6,1.336867744,2.151762203,0.36122942,-1.01824201,145.36,9,0,0,0,9,0,2.302585093,0,0,1,0,1,0.5,0.5,0,4,1,4,2.5,28
144,L-121,23.6295,2.5,T.americana,B.wood,B'wood,230.9,9.24,0.916290732,2.223541886,0.352606602,-1.042402285,144.47,6,0,0,0,6,0,1.945910149,0,0,0,0,0,1,1,0,3,1,2,2,55
145,LL-102,17.9047,4.8804,T.americana,B.wood,B'wood,226.3,11.19,1.585227184,2.415020522,0.383063599,-0.959554249,145.59,9,0,0,0,9,0,2.302585093,0,2,4,1,2,0.6,0.666666667,0,1,6,2,0.285714286,10
233,LL-103,22.7242,9.0097,Q.rubra,ROak,R.oak,222.7,11.56,2.198301775,2.447550863,0.412456527,-0.885624468,149.09,10,0,0,0,10,0,2.397895273,0,0,1,0,1,0.5,0.5,0,1,7,2,0.25,71
313,LL-104,37.4052,7.6184,Q.alba,WOak,W.oak,220.7,13.6,2.030566374,2.610069793,0.809405025,-0.211455838,146.58,9,1,2,0.111111111,9,0.111111111,2.302585093,0.105360516,0,0,0,0,1,1,0,0,6,3,0.142857143,21
337,LL-110,310.3645,3.7545,Q.alba,WOak,W.oak,216.8,11.28,1.322955121,2.423031246,0.899648321,-0.105751347,138.2,7,0,0,0,7,0,2.079441542,0,0,0,0,0,1,1,0,1,3,3,0.5,18
272,LL-114,316.2729,4.5494,Q.rubra,ROak,R.oak,218,8.79,1.514995356,2.173614712,0.669583132,-0.401099951,139.42,5,1,1,0.2,5,0.2,1.791759469,0.182321557,1,2,1,2,0.666666667,0.666666667,0,2,1,2,1.5,7
281,LL-119,82.5688,6.6153,Q.rubra,ROak,R.oak,209.8,7.82,1.889385148,2.056684555,1.080973402,0.077861933,138.61,5,1,80,0.2,5,0.2,1.791759469,0.182321557,0,1,0,1,0.5,0.5,0,1,1,3,1,18
208,LL-128,225,0.1013,A.saccharum,Maple,Maple,206.1,6.32,-2.289668868,1.843719208,0.430356264,-0.843141892,133.83,5,2,6,0.4,5,0.4,1.791759469,0.336472237,1,0,1,0,2,2,0,1,1,3,1,100
290,LL-133,213.1786,4.4407,Q.rubra,ROak,R.oak,211.5,9.26,1.490812022,2.225704049,1.10345871,0.098449529,129.82,6,0,0,0,6,0,1.945910149,0,0,3,0,1,0.25,0.5,0,0,2,4,0.333333333,53
291,LL-135,194.0363,6.4689,Q.rubra,ROak,R.oak,214.9,7.26,1.867006079,1.982379829,1.105805989,0.100574471,128.11,3,0,0,0,3,0,1.386294361,0,1,4,1,1,0.4,1,0,0,1,2,0.5,3
123,LL-141,141.054,6.6917,T.americana,B.wood,B'wood,213.8,7.67,1.900867952,2.037316615,0.706104448,-0.347992109,131.16,7,0,0,0,7,0,2.079441542,0,3,8,1,1,0.444444444,1,0,2,3,2,0.75,10
381,LL-84,315,1.9237,Q.alba,WOak,W.oak,207.3,9.96,0.654250415,2.298577072,0.591790557,-0.524602496,134.97,5,0,0,0,5,0,1.791759469,0,0,0,0,0,1,1,1,1,2,2,0.666666667,5
73,LL-90,323.53,2.0475,J.nig-U.rub,WnutElm,W'nut,209.2,10.86,0.716619537,2.385086315,1.218633966,0.197730531,135.96,11,0,0,0,11,0,2.48490665,0,0,0,0,0,1,1,0,3,6,2,0.571428571,12
230,LL-93,359.4645,7.6185,Q.rubra,ROak,R.oak,212,13.24,2.0305795,2.583242551,1.835305987,0.607211218,143.63,8,0,0,0,8,0,2.197224577,0,0,0,0,0,1,1,0,4,2,2,1.666666667,7
294,M-118,337.1094,3.4941,Q.rubra,ROak,R.oak,229.2,9.39,1.251075832,2.239645293,0.462758968,-0.770548948,143.56,6,0,0,0,6,0,1.945910149,0,0,2,0,1,0.333333333,0.5,2,3,1,2,2,30
184,M-134,46.3323,4.3481,A.saccharum,Maple,Maple,221.6,7.25,1.469738968,1.981001469,0.925853133,-0.077039661,143.29,2,0,0,0,2,0,1.098612289,0,0,3,0,1,0.25,0.5,0,1,0,1,2,1
202,M-137,310.2364,6.0753,A.saccharum,Maple,Maple,218.7,10.17,1.804231371,2.31944221,0.742323489,-0.297970162,139.64,2,0,0,0,2,0,1.098612289,0,0,2,0,2,0.333333333,0.333333333,0,0,0,2,1,6
119,MM-102,23.8753,4.7666,T.americana,B.wood,B'wood,221.5,22,1.561633262,3.091042453,0.062413864,-2.773967849,144.07,8,7,24,0.875,8,0.875,2.197224577,0.628608659,27,3,2,3,7,0.75,0,1,5,2,0.333333333,4
394,MM-114,320.7929,6.9897,Q.alba,WOak,W.oak,216.3,7.64,1.944437637,2.033397603,0.742006483,-0.298397299,140.63,2,3,21,1.5,2,1.5,1.098612289,0.916290732,1,2,1,2,0.666666667,0.666666667,0,0,1,1,0.5,5
50,MM-94,265.9145,2.0096,P.serot,Cherry,Cherry,209.9,11.43,0.697935697,2.436241478,0.335442301,-1.092305316,133.77,7,2,45,0.285714286,7,0.285714286,2.079441542,0.251314428,0,0,0,0,1,1,0,0,5,2,0.166666667,11
31,MM-97,308.0189,4.9874,F.am-U.am,AshElm,W.ash,219,15.91,1.606914732,2.766947842,0.138843559,-1.974407454,138.91,10,1,4,0.1,10,0.1,2.397895273,0.09531018,0,0,0,0,1,1,0,0,5,4,0.166666667,53
38,N-110,342.2995,10.4817,F.am-U.am,AshElm,W.ash,222.2,9.03,2.349630879,2.200552367,1.070342183,0.067978395,147.48,11,0,0,0,11,0,2.48490665,0,0,1,0,1,0.5,0.5,2,6,2,3,2.333333333,5
245,N-113,357.7543,7.2715,Q.rubra,ROak,R.oak,227.2,7.47,1.983962598,2.010894999,0.687443584,-0.374775512,147.8,5,0,0,0,5,0,1.791759469,0,0,2,0,2,0.333333333,0.333333333,0,3,0,2,4,8
258,N-115,11.9761,4.8207,Q.rubra,ROak,R.oak,228.8,9.42,1.572919146,2.242835089,0.993934773,-0.006083695,146.35,1,1,20,1,1,1,0.693147181,0.693147181,0,0,0,0,1,1,1,0,0,1,1,3
142,N-116,65.6236,9.9629,T.americana,B.wood,B'wood,226.2,7.27,2.298868194,1.983756292,0.610470459,-0.493525375,147.96,6,0,0,0,6,0,1.945910149,0,0,2,0,2,0.333333333,0.333333333,0,3,1,2,2,2
240,N-123,48.7314,4.6587,Q.rubra,ROak,R.oak,227.2,8.73,1.538736439,2.16676537,0.815147262,-0.204386493,144.95,4,0,0,0,4,0,1.609437912,0,0,0,0,0,1,1,0,2,0,2,3,9
320,NN-100,328.1337,3.1171,Q.alba,WOak,W.oak,221.2,13.85,1.136903082,2.628285233,0.63274761,-0.457683657,140.4,8,2,60,0.25,8,0.25,2.197224577,0.223143551,1,1,1,1,1,1,0,1,6,1,0.285714286,5
285,NN-110,68.1981,1.5424,Q.rubra,ROak,R.oak,216.1,14.06,0.433339645,2.643333886,0.354070428,-1.038259436,138.06,8,0,0,0,8,0,2.197224577,0,1,3,1,3,0.5,0.5,0,1,5,2,0.333333333,27
30,NN-114,325.84,4.8354,F.am-U.am,AshElm,W.ash,213.1,7.52,1.575963856,2.017566138,0.110824693,-2.199805668,139.11,2,1,3,0.5,2,0.5,1.098612289,0.405465108,5,0,1,0,6,2,0,0,0,2,1,7
323,NN-118,44.1931,7.1546,Q.alba,WOak,W.oak,209.2,12.04,1.967755506,2.48823444,0.514828736,-0.663920985,142.34,6,1,4,0.166666667,6,0.166666667,1.945910149,0.15415068,1,0,1,0,2,2,0,2,2,2,1,71
197,NN-126,225,0.1013,A.saccharum,Maple,Maple,206.1,16.5,-2.289668868,2.803360381,0.203180283,-1.5936616,133.83,9,6,107,0.666666667,9,0.666666667,2.302585093,0.510825624,6,11,1,3,0.583333333,0.5,0,0,4,4,0.2,19
274,NN-136,341.5652,2.9417,Q.rubra,ROak,R.oak,219.6,9.11,1.078987646,2.209372711,0.502432095,-0.688294783,140.67,7,1,1,0.142857143,7,0.142857143,2.079441542,0.133531393,4,5,2,2,0.833333333,1,0,3,1,3,2,4
295,NN-140,65.1575,8.4616,Q.rubra,ROak,R.oak,219.2,10.15,2.135538281,2.317473705,1.40588856,0.34066953,144.61,5,0,0,0,5,0,1.791759469,0,0,0,0,0,1,1,0,2,1,2,1.5,26
85,NN-145,300.9637,2.9207,J.nig-U.rub,WnutElm,W'nut,218.8,10.49,1.071823314,2.350422422,0.382737298,-0.960406431,137.96,8,0,0,0,8,0,2.197224577,0,0,20,0,4,0.047619048,0.2,0,2,3,3,0.75,43
79,NN-146,273.9912,6.1505,J.nig-U.rub,WnutElm,W'nut,221.9,7.48,1.816533379,2.012232792,0.465254359,-0.765171014,135.81,5,1,1,0.2,5,0.2,1.791759469,0.182321557,15,0,2,0,16,3,0,2,1,2,1.5,3
257,NN-89,0,1.4321,Q.rubra,ROak,R.oak,207.6,15.42,0.359141899,2.735665368,0.289930327,-1.238114637,135.91,7,1,15,0.142857143,7,0.142857143,2.079441542,0.133531393,0,0,0,0,1,1,0,0,4,2,0.2,11
28,NN-91,0,0.7162,F.am-U.am,AshElm,W.ash,207.1,18.48,-0.333795821,2.916689066,0.114028163,-2.171309817,134.92,9,2,45,0.222222222,9,0.222222222,2.302585093,0.200670696,0,0,0,0,1,1,0,1,4,4,0.4,22
24,NN-97,333.9467,7.1377,F.am-U.am,AshElm,W.ash,216.1,19.15,1.965390596,2.952302716,0.151280304,-1.888620845,142.11,7,2,7,0.285714286,7,0.285714286,2.079441542,0.251314428,4,0,1,0,5,2,0,2,3,2,0.75,40
375,O-105,177.8794,1.9343,Q.alba,WOak,W.oak,230.2,9.07,0.659745504,2.204972264,1.111787215,0.105968824,138.81,3,0,0,0,3,0,1.386294361,0,0,1,0,1,0.5,0.5,0,2,0,1,3,2
336,O-108,122.9053,5.7811,Q.alba,WOak,W.oak,227.1,7.83,1.754593976,2.05796251,1.603335291,0.472086016,138.14,7,1,1,0.142857143,7,0.142857143,2.079441542,0.133531393,0,7,0,2,0.125,0.333333333,0,4,1,2,2.5,16
379,O-109,107.3117,11.3999,Q.alba,WOak,W.oak,223.3,8.99,2.433604583,2.196112848,1.149183375,0.139051581,138.68,8,0,0,0,8,0,2.197224577,0,0,1,0,1,0.5,0.5,0,4,1,3,2.5,8
41,O-112,344.7449,4.8876,F.am-U.am,AshElm,W.ash,223.6,7.79,1.586701385,2.05284086,0.5091107,-0.675089801,143.47,6,0,0,0,6,0,1.945910149,0,0,2,0,1,0.333333333,0.5,0,3,1,2,2,5
185,O-121,342.2995,3.5289,A.saccharum,Maple,Maple,226.2,9.98,1.260986208,2.30058309,0.311866783,-1.16517916,143.07,4,0,0,0,4,0,1.609437912,0,0,0,0,0,1,1,0,3,0,1,4,8
188,O-131,62.5252,2.0173,A.saccharum,Maple,Maple,221.5,8.89,0.701759984,2.18492705,0.519481279,-0.654924506,140.46,3,0,0,0,3,0,1.386294361,0,0,0,0,0,1,1,0,1,0,2,2,13
214,O-135,40.9144,2.8409,A.saccharum,Maple,Maple,217.3,9,1.044120903,2.197224577,0.78943526,-0.23643745,140.42,0,1,4,,0,,0,,0,1,0,1,0.5,0.5,0,0,0,0,1,0
99,O-136,67.0362,4.5795,J.nig-U.rub,WnutElm,W'nut,215.9,9.99,1.521589822,2.301584593,1.028569534,0.028169035,140.39,14,2,9,0.142857143,14,0.142857143,2.708050201,0.133531393,1,0,1,0,2,2,1,1,11,1,0.166666667,8
387,OO-100,312.9548,2.8355,Q.alba,WOak,W.oak,219.7,18.33,1.042218288,2.908539062,1.441396989,0.365612775,139.07,16,2,4,0.125,16,0.125,2.833213344,0.117783036,2,1,1,1,1.5,1,0,3,10,3,0.363636364,13
97,OO-101,141.8425,2.5486,J.nig-U.rub,WnutElm,W'nut,220.1,22.64,0.935544189,3.119718253,0.048176628,-3.032881272,136.44,14,0,0,0,14,0,2.708050201,0,2,2,1,1,1,1,0,3,6,4,0.571428571,66
